Paper_ID,EOSC-TF_Codename,Codename,EOSC-TF_Name,Name,Definition,Characteristics,
154,EOSC-SWRelMan-24,7.1,Packaging of tarballs,Packaging of tarballs,"The single most annoying mistake newbie developers make is to build tarballs that unpack the files and directories in the distribution into the current directory, potentially stepping on files already located there. Never do this!",Installability,
154,EOSC-SWRelMan-25,7.4,Design for upgradability,Design for upgradability,"Your software will change over time as you put out new releases. Some of these changes will not be backward-compatible. Accordingly, you should give serious thought to designing your installation layouts so that multiple installed versions of your code can coexist on the same system. This is especially important for libraries — you can't count on all your client programs to upgrade in lockstep with your API changes",Compatibility,
154,EOSC-SWRelMan-26,7.5,Provide checksums,Provide checksums,"Provide checksums with your binaries (tarballs, RPMs, etc.).",Maintainability,
152,EOSC-SWRelMan-27,SvcQC.Doc03,Documentation version controlled,Documentation version controlled,Documentation MUST be version controlled.,Supportability,"All attributes on documentation needs reviewing, if it should be in a separate category?"
151,EOSC-SWRelMan-28,QC.Doc01,Documentation as code,Documentation as code,"Documentation MUST be treated as code. Version controlled, it MAY reside in the same repository where the source code lies.","Supportability, Maintainability, Reusability",
151,EOSC-SWRelMan-29,QC.Doc02,Documentation formats,Plain text using markup language,"Documentation MUST use plain text format using a markup language, such as Markdown or reStructuredText. It is RECOMMENDED that all software components delivered by the same project agree on a common markup language.","Supportability, Maintainability, Reusability",
154,EOSC-SWRelMan-29,8.1,Documentation formats,Documentation formats,"Here are the documentation markup formats now in widespread use among open-source developers. man pages, HTML Texinfo DocBook asciidoc","Supportability, Maintainability, Reusability",
154,EOSC-SWRelMan-29,8.2,Documentation formats,Good practice recommendations,Maintain your document masters in either XML-DocBook or asciidoc. Ship the XML or asciidoc masters. Generate XHTML from your masters,"Supportability, Maintainability, Reusability",
151,EOSC-SWRelMan-30,QC.Doc03,Documentation online,Available online,Documentation MUST be online available in a documentation repository. Documentation SHOULD be rendered automatically.,"Supportability, Availability",
152,EOSC-SWRelMan-30,SvcQC.Doc01,Documentation online,Documentation online,"Documentation MUST be available online, easily findable and accessible.","Supportability, Availability",
151,EOSC-SWRelMan-31,QC.Doc04,Documentation updates,Documentation updates with new software versions,Documentation MUST be updated on new software versions involving any substantial or minimal change in the behavior of the application.,"Supportability, Maintainability, Reusability",
152,EOSC-SWRelMan-31,SvcQC.Doc04,Documentation updates,Documentation updates,"Documentation MUST be updated on new Service versions involving any change in the installation, configuration or behaviour of the Service.","Supportability, Maintainability, Reusability",
154,EOSC-SWRelMan-31,6.6,Documentation updates,Sanity-check your documentation and READMEs before release,"Spell-check your documentation, README files and error messages in your software.","Supportability, Maintainability, Reusability",
151,EOSC-SWRelMan-32,QC.Doc05,Documentation updates if inaccurate/unclear,Documentation updates if inaccurate/unclear,Documentation MUST be updated whenever reported as inaccurate or unclear.,"Supportability, Maintainability, Reusability",
152,EOSC-SWRelMan-32,SvcQC.Doc05,Documentation updates if inaccurate/unclear,Documentation Inaccuracy and unclear,Documentation MUST be updated whenever reported as inaccurate or unclear.,"Supportability, Maintainability, Reusability",
85,EOSC-SWRelMan-33,-,Documentation production,Code documentation,The code is documented,"Supportability, Maintainability, Reusability",
85,EOSC-SWRelMan-33,-,Documentation production,Tutorials,Availability of material explaining how to use the target software through examples,"Supportability, Maintainability, Reusability",
150,EOSC-SWRelMan-33,CA1.1,Documentation production,End-user Documentation,User materials and tutorials can be used as training resources. There is detailed in software contextual user support documentation. Documentation is consistent with current version of the software. User created documentation and comments form part of the documentation available.,"Supportability, Maintainability, Reusability",
150,EOSC-SWRelMan-33,CA1.2,Documentation production,Operational Documentation,"Documentation is appropriate for different categories of deployment and management of the software. Deployment and configuration demonstrations, materials and tutorials can be used to teach other users. Documentation is consistent with current version of the software. User created documentation and comments form part of the documentation available.","Supportability, Maintainability, Reusability",
150,EOSC-SWRelMan-33,CA1.3,Documentation production,Development Documentation,"All stages of the software development lifecycle are fully documented, including design, testing and future improvement planning. Documentation is appropriate for different categories of users. Documentation describes the current version of the software. User created documentation and comments form part of the documentation available.","Supportability, Maintainability, Reusability",
151,EOSC-SWRelMan-33,QC.Doc06,Documentation production,Documentation production,"Documentation MUST be produced according to the target audience, varying according to the software component specification. The identified types of documentation and their RECOMMENDED content are README file(one-paragraph description of the application, a ""Getting Started"" step-by-step description on how to get a development environment running, automated test execution how-to, links to external documentation below, contributing code of conduct, versioning specification, author list and contacts, license information and acknowledgements), Developer documentations (Private API documentation, structure and interfaces and build documentation), Deployment and Administration documentations (Installation and configuration guides, service reference card, FAQs and troubleshooting) and user documentations (Public API documentation and command-line reference).","Supportability, Maintainability, Reusability",
152,EOSC-SWRelMan-33,SvcQC.Doc07,Documentation production,Documentation Target Audience,"Documentation MUST be produced according to the target audience, varying according to the Service specification.","Supportability, Maintainability, Reusability",
152,EOSC-SWRelMan-33,SvcQC.Doc07.1,Documentation production,Documentation Deployment and Administration,"The identified types of documentation and their RECOMMENDED content are Installation and configuration guides, and Service Reference Card with the following RECOMMENDED content: Brief functional description, List of proceses and daemons, init scripts and options, List of configuration files, locatin and example or template, Log files location and other useful audit information, List of ports, Service state informatio, List of cron jobs, Security information, FAQs and troubleshooting.","Supportability, Maintainability, Reusability",
152,EOSC-SWRelMan-33,SvcQC.Doc07.2,Documentation production,Documentation User,Detailed User Guide for the Serice. Public API documentation (if applicable). Command-line (CLI) reference (if applicable),"Supportability, Maintainability, Reusability",
154,EOSC-SWRelMan-33,7.2,Documentation production,Have a README,Have a file called README or READ.ME that is a roadmap of your source distribution,"Supportability, Maintainability, Reusability",
154,EOSC-SWRelMan-33,8,Documentation production,Good documentation practice,The most important good documentation practice is to actually write some,"Supportability, Maintainability, Reusability",
154,EOSC-SWRelMan-33,7.3,Documentation production,Respect and follow standard file naming practices,standard top-level file names: README INSTALL AUTHORS NEWS HISTORY COPYING LICENSE MANIFEST FAQ TAGS,"Supportability, Maintainability, Reusability",
152,EOSC-SWRelMan-34,SvcQC.Doc02,Documentation PID,Documentation PID,Documentation SHOULD have a Persistent Identifier (PID).,Supportability,
152,EOSC-SWRelMan-35,SvcQC.Doc06,Documentation license,Documentation license,Documentation MUST have a non-software license.,Supportability,
