Authors,Title,Year,Source title,Link,Abstract
Alami A.,The sustainability of quality in free and open source software,2020,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094174322&doi=10.1145%2f3377812.3381402&partnerID=40&md5=afb03b21ee1d83333f142cfdf9d75b14,"We learned from the history of software that great software are theones who manage to sustain their quality. Free and open sourcesoftware (FOSS) has become a serious software supply channel.However, trust on FOSS products is still an issue. Quality is a traitthat enhances trust. In my study, I investigate the following question: how do FOSS communities sustain their software quality? Iargue that human and social factors contribute to the sustainabilityof quality in FOSS communities. Amongst these factors are: themotivation of participants, robust governance style for the software change process, and the exercise of good practices in the pullrequests evaluation process. © 2020 Copyright held by the owner/author(s)."
Chatterjee P.,Extracting archival-quality information from software-related chats,2020,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093656912&doi=10.1145%2f3377812.3381391&partnerID=40&md5=6c11ea59a3e552dc5f5935b799d4f744,"Software developers are increasingly having conversations aboutsoftware development via online chat services. Many of those chatcommunications contain valuable information, such as code descriptions, good programming practices, and causes of commonerrors/exceptions. However, the nature of chat community contentis transient, as opposed to the archival nature of other developercommunications such as email, bug reports and Q&A forums. As aresult, important information and advice are lost over time. The focus of this dissertation is Extracting Archival Informationfrom Software-Related Chats, specifically to (1) automatically identify conversations that contain archival-quality information, (2)accurately reduce the granularity of the information reported asarchival information, and (3) conduct a case study to investigatehow archival quality information extracted from chats compareto related posts in Q&A forums. Archiving knowledge from developer chats could be used potentially in several applications suchas: creating a new archival mechanism available to a given chatcommunity, augmenting Q&A forums, or facilitating the mining ofspecific information and improving software maintenance tools. © 2020 Copyright held by the owner/author(s)."
"Kavalchuk A., Goldenberg A., Hussain I.",An empirical study of teaching qualities of popular computer science and software engineering instructors using RateMyProfessor.com data,2020,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093651824&doi=10.1145%2f3377814.3381700&partnerID=40&md5=548f17e80886b8cef5906827f72cb85a,"The employment opportunity for Computer Science (CS), Information Technology and Software Engineering and Development (SE) related occupations is projected to grow much faster than the average of all other occupations. Therefore, increase in student enrollment, retention and graduation rate is becoming very important, so is the need for effective teaching in these subjects. Many universities commonly use formal, institutional Student Evaluation of Teaching (SET) systems to measure the teaching effectiveness. After each semester, through SET, students provide feedback and comments for their courses and instructors. However, evaluations are private and only a handful people have access to these. Therefore, these evaluations cannot be utilized to create a common understanding of the students' expectations, perspective, desired characteristics of the courses and instructors. On the other hand, third party online platforms like RateMyProfessor.com (RMP) are public, solicit anonymous student feedback and host tremendous amount of data about the instructors and their courses. These platforms are also popular among students. We mined and analyzed the RMP data for some research questions, e.g.: What are the common characteristics of the popular CS instructors? How different are they for the SE instructors? Are there any examples of special characteristics, tools and techniques popular CS instructors use? We captured and analyzed more than 9,000 students' comments for over 300 CS instructors for the top 20 universities in the U.S. and Canada. The paper contributes by presenting the findings for the research questions and making the data and the scripts available for public use for future research. © 2020 IEEE Computer Society. All rights reserved."
"Angelis L., Bures T.",Special issue on software quality of advanced software applications,2020,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084154799&doi=10.1007%2fs11219-020-09497-z&partnerID=40&md5=1e7da6af904a3eb3b2fed8f180d4d923,[No abstract available]
"Falcone Y., Mariani L.",Preface to the special section on improving software quality through formal methods,2020,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079882744&doi=10.1007%2fs11219-020-09508-z&partnerID=40&md5=c07f7292c58a384fae1079d23f265c09,[No abstract available]
"Dey T., Mockus A.",Deriving a usage-independent software quality metric,2020,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079758011&doi=10.1007%2fs10664-019-09791-w&partnerID=40&md5=6305e781914a82218ae0b82161c1ec56,"Context: The extent of post-release use of software affects the number of faults, thus biasing quality metrics and adversely affecting associated decisions. The proprietary nature of usage data limited deeper exploration of this subject in the past. Objective: To determine how software faults and software use are related and how, based on that, an accurate quality measure can be designed. Method: Via Google Analytics we measure new users, usage intensity, usage frequency, exceptions, and release date and duration for complex proprietary mobile applications for Android and iOS. We utilize Bayesian Network and Random Forest models to explain the interrelationships and to derive the usage independent release quality measure. To increase external validity, we also investigate the interrelationship among various code complexity measures, usage (downloads), and number of issues for 520 NPM packages. We derived a usage-independent quality measure from these analyses, and applied it on 4430 popular NPM packages to construct timelines for comparing the perceived quality (number of issues) and our derived measure of quality during the lifetime of these packages. Results: We found the number of new users to be the primary factor determining the number of exceptions, and found no direct link between the intensity and frequency of software usage and software faults. Crashes increased with the power of 1.02-1.04 of new user for the Android app and power of 1.6 for the iOS app. Release quality expressed as crashes per user was independent of other usage-related predictors, thus serving as a usage independent measure of software quality. Usage also affected quality in NPM, where downloads were strongly associated with numbers of issues, even after taking the other code complexity measures into consideration. Unlike in mobile case where exceptions per user decrease over time, for 45.8% of the NPM packages the number of issues per download increase. Conclusions: We expect our result and our proposed quality measure will help gauge release quality of a software more accurately and inspire further research in this area. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
"Brindescu C., Ahmed I., Jensen C., Sarma A.",An empirical investigation into merge conflicts and their effect on software quality,2020,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072196973&doi=10.1007%2fs10664-019-09735-4&partnerID=40&md5=1f8c97f2452902a4690b4cd97cb910a9,"Merge conflicts are known to cause extra effort for developers, but little is known about their effect on software. While some research has been done, many questions remain. To better understand merge conflicts and their impact we performed an empirical study about the types, frequency, and impact of merge conflicts, where impact is measured in terms of bug fixing commits associated with conflicts. We analyzed 143 open source projects and found that almost 1 in 5 merges cause conflicts. In 75.23% of these cases, a developer needed to reflect on the program logic to resolve it. We also found that the code associated with a merge conflict is twice as likely to have a bug. When the code associated with merge conflicts require manual intervention, the code is 26× more likely to have a bug. © 2019, Springer Science+Business Media, LLC, part of Springer Nature."
"Mendes E., Rodriguez P., Freitas V., Baker S., Atoui M.A.","Correction to: Towards improving decision making and estimating the value of decisions in value-based software engineering: the VALUE framework (Software Quality Journal, (2018), 26, 2, (607-656), 10.1007/s11219-017-9360-z)",2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051180836&doi=10.1007%2fs11219-018-9416-8&partnerID=40&md5=1a26883dfbc3377ebf7b7f35db9fe028,"The original version of this article unfortunately contained a mistake in Figs 1 and 21. The figure image was incorrectly captured during typesetting. Thus, this erratum is presented to fix this error, providing the correct image. © 2018, Springer Science+Business Media, LLC, part of Springer Nature."
"Yang Z., Liu T., Luo D.X., Wang C.",Guest editorial: special issue on concurrent software quality,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050681806&doi=10.1007%2fs11219-018-9415-9&partnerID=40&md5=57ed71b8a4b37cd741fcabcef7fb2ed9,[No abstract available]
"Mendes E., Winkler D.",Special issue on “software quality in software-intensive systems”,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045764026&doi=10.1007%2fs11219-018-9406-x&partnerID=40&md5=85f6a9ccc5bbb97e814ae79d0b66afcc,[No abstract available]
"Minku L.L., Bener A.B., Turhan B.",Guest editorial: special issue on predictive models for software quality,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045297403&doi=10.1007%2fs11219-018-9409-7&partnerID=40&md5=06a2f8258bdd4b67104512740ba95473,[No abstract available]
Datta S.,How does developer interaction relate to software quality? an examination of product development data,2018,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026823677&doi=10.1007%2fs10664-017-9534-0&partnerID=40&md5=1bcbb3493632b82239aeb55703852b5f,"Industrial software systems are being increasingly developed by large and distributed teams. Tools like collaborative development environments (CDE) are used to facilitate interaction between members of such teams, with the expectation that social factors around the interaction would facilitate team functioning. In this paper, we first identify typically social characteristics of interaction in a software development team: reachability, connection, association, and clustering. We then examine how these factors relate to the quality of software produced by a team, in terms of the number of defects, through an empirical study of 70+ teams, involving 900+ developers in total, spread across 30+ locations and 19 time-zones, working on 40,000+ units of work in the multi-version development of a major industrial product, spreading across more than five years. After controlling for known factors affecting large scale distributed development such as dependency, system age, developer expertise and experience, geographic dispersion, socio-technical congruence, and the number of files changed, we find statistically significant effects of connection and clustering on software quality. Higher levels of intra-team connection are found to relate to higher defect count, whereas more clustering relates to fewer defects. We examine the implications of these results for individual developers, project managers, and organizations. © 2017, Springer Science+Business Media, LLC."
"Stevenson J., Wood M.",Recognising object-oriented software design quality: a practitioner-based questionnaire survey,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017566671&doi=10.1007%2fs11219-017-9364-8&partnerID=40&md5=64be91384347ff392179346f104c31a8,"Design quality is vital if software is to be maintainable. What practices do developers actually use to achieve design quality in their day-to-day work and which of these do they find most useful? To discover the extent to which practitioners concern themselves with object-oriented design quality and the approaches used when determining quality in practice, a questionnaire survey of 102 software practitioners, approximately half from the UK and the remainder from elsewhere around the world was used. Individual and peer experience are major contributors to design quality. Classic design guidelines, well-known lower level practices, tools and metrics all can also contribute positively to design quality. There is a potential relationship between testing practices and design quality. Inexperience, time pressures, novel problems, novel technology, and imprecise or changing requirements may have a negative impact on quality. Respondents with most experience are more confident in their design decisions, place more value on reviews by team leads and are more likely to rate design quality as very important. For practitioners, these results identify the techniques and tools that other practitioners find effective. For researchers, the results highlight a need for more work investigating the role of experience in the design process and the contribution experience makes to quality. There is also the potential for more in-depth studies of how practitioners are actually using design guidance, including Clean Code. Lastly, the potential relationship between testing practices and design quality merits further investigation. © 2017, The Author(s)."
"Foidl H., Felderer M.",Integrating software quality models into risk-based testing,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994719172&doi=10.1007%2fs11219-016-9345-3&partnerID=40&md5=08aef64094ee176e3efa77d89641d4fa,"Risk-based testing is a frequently used testing approach which utilizes identified risks of a software system to provide decision support in all phases of the testing process. Risk assessment, which is a core activity of every risk-based testing process, is often done in an ad hoc manual way. Software quality assessments, based on quality models, already describe the product-related risks of a whole software product and provide objective and automation-supported assessments. But so far, quality models have not been applied for risk assessment and risk-based testing in a systematic way. This article tries to fill this gap and investigates how the information and data of a quality assessment based on the open quality model QuaMoCo can be integrated into risk-based testing. We first present two generic approaches showing how quality assessments based on quality models can be integrated into risk-based testing and then provide the concrete integration on the basis of the open quality model QuaMoCo. Based on five open source products, a case study is performed. Results of the case study show that a risk-based testing strategy outperforms a lines of code-based testing strategy with regard to the number of defects detected. Moreover, a significant positive relationship between the risk coefficient and the associated number of defects was found. © 2016, The Author(s)."
"Söylemez M., Tarhan A.",Challenges of software process and product quality improvement: catalyzing defect root-cause investigation by process enactment data analysis,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983535140&doi=10.1007%2fs11219-016-9334-6&partnerID=40&md5=84cd45d8183f9bbdab5d4fa837c0120e,"It is claimed by software quality management that the quality of a software product is highly influenced by the quality of the software process followed to develop it. Since measurement of the software process is a challenging task, it is frequently the defects in the software product that are used to measure development quality. By extracting semantic information from defect records, practitioners can investigate and address root causes of software defects to improve development process and product quality. Investigating root causes requires effort for a detailed analysis into the components of the development process that originated the software defects, and is therefore encouraged only at higher maturity levels by most known process improvement models such as Capability Maturity Model Integration (CMMI). This practice, however, postpones the benefits that root-cause analysis would bring in gaining process awareness to improve the software development process and product quality in emergent organizations or organizations residing at lower maturity levels (MLs). In this article, we present a method for and results from applying root-cause analysis for software defects recorded in a software-intensive project of a CMMI ML3 certified institute. The suggested method combines process enactment data collection and analysis with Orthogonal Defect Classification which is a known technique in defect root-cause analysis. Prior to and after implementing the method in the study, defect attributes were analyzed and compared in order to understand any improvements in development performance and product quality. The results of the comparison indicate that the suggested method was efficient in the effort it required and effective in improving development performance and product quality. Defect triggers have become more active in identifying software defects in the earlier phases of software development, and the cost of quality due to software defects has decreased in consequence. © 2016, Springer Science+Business Media New York."
"Srisopha K., Alfayez R.",Software quality through the eyes of the end-user and static analysis tools: A study on Android OSS applications,2018,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051522416&doi=10.1145%2f3194095.3194096&partnerID=40&md5=7a9dc5d4116e134e2a85128cb3328d90,"Source code analysis tools have been the vehicle for measuring and assessing the quality of a software product for decades. However, recently many studies have shown that post-deployment end-user reviews provide a wealth of insight into the quality of a software product and how it should evolve and be maintained. For example, end-user reviews help to identify missing features or inform developers about incorrect or unexpected software behavior. We believe that analyzing end-user reviews and utilizing analysis tools are a crucial step towards understanding the complete picture of the quality of a software product, as well as towards reasoning about the evolution history of it. In this paper, we investigate whether both methods correlate with one another. In other words, we explore if there exists a relationship between user satisfaction and the application's internal quality characteristics. To conduct our research, we analyze a total of 46 actual releases of three Android open source software (OSS) applications on the Google Play Store. For each release, we employ multiple static analysis tools to assess several aspects of the application's software quality. We retrieve and manually analyze the complete reviews after each release of each application from its store page, totaling 1004 reviews. Our initial results suggest that having high or low code quality does not necessary ensure user overall satisfaction. © 2018 Association for Computing Machinery."
"Srinivasan M., Shahri M.P., Kahanda I., Kanewala U.",Quality Assurance of Bioinformatics Software: A Case Study of Testing a Biomedical Text Processing Tool Using Metamorphic Testing,2018,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051246822&doi=10.1145%2f3193977.3193981&partnerID=40&md5=13df9dbdd437caf62d8e1450305f47c6,"Bioinformatics software plays a very important role in making critical decisions within many areas including medicine and health care. However, most of the research is directed towards developing tools, and little time and effort is spent on testing the software to assure its quality. In testing, a test oracle is used to determine whether a test is passed or failed during testing, and unfortunately, for much of bioinformatics software, the exact expected outcomes are not well defined. Thus, the main challenge associated with conducting systematic testing on bioinformatics software is the oracle problem. Metamorphic testing (MT) is a technique used to test programs that face the oracle problem. MT uses metamorphic relations (MRs) to determine whether a test has passed or failed and specifies how the output should change according to a specific change made to the input. In this work, we use MT to test LingPipe, a tool for processing text using computational linguistics, often used in bioinformatics for bio-entity recognition from biomedical literature. First, we identify a set of MRs for testing any bio-entity recognition program. Then we develop a set of test cases that can be used to test LingPipe's bio-entity recognition functionality using these MRs. To evaluate the effectiveness of this testing process, we automatically generate a set of faulty versions of LingPipe. According to our analysis of the experimental results, we observe that our MRs can detect the majority of these faulty versions, which shows the utility of this testing technique for quality assurance of bioinformatics software. © 2018 Association for Computing Machinery."
"Li M., Chen T., Yao X.","A critical review of ""a practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering"": Essay on quality indicator selection for SBSE",2018,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049805170&doi=10.1145%2f3183399.3183405&partnerID=40&md5=cf1c999ddeb3da395195f2ba42440d27,"This paper presents a critical review of the work published at ICSE'2016 on a practical guide of quality indicator selection for assessing multiobjective solution sets in search-based software engineering (SBSE). This review has two goals. First, we aim at explaining why we disagree with the work at ICSE'2016 and why the reasons behind this disagreement are important to the SBSE community. Second, we aim at providing a more clarified guide of quality indicator selection, serving as a new direction on this particular topic for the SBSE community. In particular, we argue that it does matter which quality indicator to select, whatever in the same quality category or across different categories. This claim is based upon the fundamental goal of multiobjective optimisation-supplying the decision-maker a set of solutions which are the most consistent with their preferences. © 2018 Association for Computing Machinery."
"Mariani L., Hao D., Subramanyan R., Zhu H.",The central role of test automation in software quality assurance,2017,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021890645&doi=10.1007%2fs11219-017-9383-5&partnerID=40&md5=461e73db89dee09968af2af04cf7a5b3,[No abstract available]
"Wu J., Ali S., Yue T., Tian J., Liu C.",Assessing the quality of industrial avionics software: an extensive empirical evaluation,2017,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976479544&doi=10.1007%2fs10664-016-9440-x&partnerID=40&md5=e1761f9abd032dfbd75cb4f93279a681,"A real-time operating system for avionics (RTOS4A) provides an operating environment for avionics application software. Since an RTOS4A has safety-critical applications, demonstrating a satisfactory level of its quality to its stakeholders is very important. By assessing the variation in quality across consecutive releases of an industrial RTOS4A based on test data collected over 17 months, we aim to provide a set of guidelines to 1) improve the test effectiveness and thus the quality of subsequent RTOS4A releases and 2) similarly assess the quality of other systems from test data. We carefully defined a set of research questions, for which we defined a number of variables (based on available test data), including release and measures of test effort, test effectiveness, complexity, test efficiency, test strength, and failure density. With these variables, to assess the quality in terms of number of failures found in tests, we applied a combination of analyses, including trend analysis using two-dimensional graphs, correlation analysis using Spearman’s test, and difference analysis using the Wilcoxon rank test. Key results include the following: 1) The number of failures and failure density decreased in the latest releases and the test coverage was either high or did not decrease with each release; 2) increased test effort was spent on modules of greater complexity and the number of failures was not high in these modules; and 3) the test coverage for modules without failures was not lower than the test coverage for modules with failures uncovered in all the releases. The overall assessment, based on the evidences, suggests that the quality of the latest RTOS4A release has improved. We conclude that the quality of the RTOS4A studied was improved in the latest release. In addition, our industrial partner found our guidelines useful and we believe that these guidelines can be used to assess the quality of other applications in the future. © 2016, Springer Science+Business Media New York."
"Parthasarathy S., Sharma S.",Impact of customization over software quality in ERP projects: an empirical study,2017,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964057687&doi=10.1007%2fs11219-016-9314-x&partnerID=40&md5=bbbd3a489ccce59d7785bbfd59804021,"Enterprise resource planning (ERP) systems are recognized as management information systems that streamline business processes of an enterprise. Delivering ERP software to meet functional needs of an organization with acceptable level of quality is a challenge due to the very nature of development and deployment of this packaged software. Drawing on ISO/IEC 9126’s characterization of software quality and Luo and Strong’s ERP customization framework, this paper analyzes the impact of the ERP system customization on software quality of ERP. A software quality framework for ERP customization has been developed, and three sets of hypotheses have been formulated. A detailed survey was conducted for data collection. The statistical data analysis reveals that module customization does not impact ERP quality, while database and source code customizations have significant influence over ERP quality. Our findings have implications for the implementation of customized ERP in organizations. © 2016, Springer Science+Business Media New York."
C. Duarte C.H.,Productivity paradoxes revisited: Assessing the relationship between quality maturity levels and labor productivity in brazilian software companies,2017,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989910841&doi=10.1007%2fs10664-016-9453-5&partnerID=40&md5=c4582eabccfbbf9c77fc764b7dd8fa00,"The adoption of quality assurance methods based on software process improvement models has been regarded as an important source of variability in software productivity. Some companies perceive that their implementation has prohibitive costs, whereas some authors identify in their use a way to comply with software development patterns and standards, produce economic value and lead to corporate performance improvement. In this paper, we investigate the relationship between quality maturity levels and labor productivity, using a data set containing 687 Brazilian software firms. We study here the relationship between labor productivity, as measured through the annual gross revenue per worker ratio, and quality levels, which were appraised from 2006 to 2012 according to two distinct software process improvement models: MPS.BR and CMMI. We perform independent statistical tests using appraisals carried out according to each of these models, consequently obtaining a data set with as many observations as possible, in order to seek strong support for our research. We first show that MPS.BR and CMMI appraised quality maturity levels are correlated, but we find no statistical evidence that they are related to higher labor productivity or productivity growth. On the contrary, we present evidence suggesting that average labor productivity is higher in software companies without appraised quality levels. Moreover, our analyses suggest that companies with appraised quality maturity levels are more or less productive depending on factors such as their business nature, main origin of capital and maintained quality level. © 2016, Springer Science+Business Media New York."
"Tosun A., Bener A.B., Akbarinasaji S.",A systematic literature review on the applications of Bayesian networks to predict software quality,2017,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948125967&doi=10.1007%2fs11219-015-9297-z&partnerID=40&md5=afee43bb29c0fd48b13f52c1eb165e36,"Bayesian networks (BN) have been used for decision making in software engineering for many years. In other fields such as bioinformatics, BNs are rigorously evaluated in terms of the techniques that are used to build the network structure and to learn the parameters. We extend our prior mapping study to investigate the extent to which contextual and methodological details regarding BN construction are reported in the studies. We conduct a systematic literature review on the applications of BNs to predict software quality. We focus on more detailed questions regarding (1) dataset characteristics, (2) techniques used for parameter learning, (3) techniques used for structure learning, (4) use of tools, and (5) model validation techniques. Results on ten primary studies show that BNs are mostly built based on expert knowledge, i.e. structure and prior distributions are defined by experts, whereas authors benefit from BN tools and quantitative data to validate their models. In most of the papers, authors do not clearly explain their justification for choosing a specific technique, and they do not compare their proposed BNs with other machine learning approaches. There is also a lack of consensus on the performance measures to validate the proposed BNs. Compared to other domains, the use of BNs is still very limited and current publications do not report enough details to replicate the studies. We propose a framework that provides a set of guidelines for reporting the essential contextual and methodological details of BNs. We believe such a framework would be useful to replicate and extend the work on BNs. © 2015, Springer Science+Business Media New York."
